team1,team2,toss_winner,venue,pitch_type,weather,total_score,wickets,overs,winner
CSK,DC,DC,Narendra Modi Stadium,Bowling,Hot,248,7,5.6,CSK
LSG,RR,RR,Chepauk,Batting,Cloudy,187,9,18.4,LSG
GT,RCB,RCB,Chepauk,Bowling,Humid,195,8,19.3,GT
RCB,RR,RCB,Eden Gardens,Balanced,Humid,146,3,7.9,RR
RCB,PBKS,PBKS,Narendra Modi Stadium,Batting,Hot,209,8,7.4,RCB
RCB,RR,RR,Narendra Modi Stadium,Batting,Hot,206,10,15.2,RR
MI,KKR,MI,Chinnaswamy Stadium,Bowling,Humid,244,3,15.1,KKR
GT,DC,DC,Chinnaswamy Stadium,Balanced,Cloudy,232,10,19.9,GT
MI,SRH,MI,Narendra Modi Stadium,Balanced,Humid,242,6,18.4,MI
MI,RR,MI,Wankhede Stadium,Bowling,Hot,168,6,7.9,MI
RR,LSG,RR,Wankhede Stadium,Batting,Cloudy,249,2,13.9,LSG
RR,LSG,RR,Narendra Modi Stadium,Batting,Humid,210,3,19.4,RR
MI,GT,GT,Chinnaswamy Stadium,Balanced,Humid,187,8,9.2,MI
GT,MI,MI,Wankhede Stadium,Bowling,Hot,245,3,15.3,MI
SRH,DC,SRH,Narendra Modi Stadium,Bowling,Hot,224,0,8.0,SRH
KKR,DC,DC,Eden Gardens,Batting,Hot,198,9,6.4,KKR
RR,LSG,LSG,Chinnaswamy Stadium,Balanced,Cloudy,120,6,10.1,RR
MI,LSG,LSG,Wankhede Stadium,Bowling,Hot,125,2,6.3,LSG
GT,RCB,GT,Wankhede Stadium,Bowling,Cloudy,132,3,15.1,GT
MI,LSG,LSG,Chepauk,Batting,Cloudy,167,1,11.4,LSG
PBKS,DC,PBKS,Eden Gardens,Bowling,Humid,172,5,5.1,PBKS
RR,DC,DC,Narendra Modi Stadium,Batting,Cloudy,223,4,17.4,RR
MI,PBKS,MI,Narendra Modi Stadium,Bowling,Cloudy,200,4,8.6,PBKS
MI,KKR,MI,Chepauk,Balanced,Cloudy,226,9,13.1,KKR
CSK,MI,MI,Narendra Modi Stadium,Bowling,Cloudy,206,7,17.0,MI
RR,CSK,CSK,Narendra Modi Stadium,Batting,Cloudy,148,0,19.8,CSK
RR,KKR,RR,Eden Gardens,Bowling,Cloudy,224,7,16.5,KKR
LSG,CSK,LSG,Chepauk,Batting,Cloudy,199,10,6.0,LSG
GT,LSG,LSG,Narendra Modi Stadium,Balanced,Hot,192,3,10.1,LSG
RR,KKR,RR,Chinnaswamy Stadium,Balanced,Humid,245,7,7.8,RR
GT,MI,MI,Narendra Modi Stadium,Batting,Hot,175,7,13.4,GT
PBKS,CSK,PBKS,Wankhede Stadium,Balanced,Hot,187,1,10.1,PBKS
PBKS,GT,PBKS,Eden Gardens,Balanced,Cloudy,145,6,19.8,PBKS
RCB,RR,RR,Chinnaswamy Stadium,Balanced,Humid,210,7,5.6,RCB
RCB,PBKS,PBKS,Narendra Modi Stadium,Bowling,Hot,207,4,16.9,RCB
PBKS,GT,PBKS,Wankhede Stadium,Balanced,Cloudy,182,1,16.3,GT
GT,KKR,KKR,Wankhede Stadium,Bowling,Humid,139,0,17.0,KKR
SRH,MI,SRH,Narendra Modi Stadium,Batting,Humid,162,8,16.9,MI
SRH,KKR,KKR,Chepauk,Balanced,Cloudy,127,1,6.7,SRH
PBKS,CSK,CSK,Chepauk,Bowling,Humid,224,8,9.1,PBKS
DC,SRH,SRH,Chinnaswamy Stadium,Bowling,Hot,147,5,18.9,SRH
MI,CSK,MI,Wankhede Stadium,Balanced,Cloudy,225,2,9.7,MI
CSK,LSG,CSK,Eden Gardens,Batting,Hot,172,2,13.7,CSK
KKR,GT,GT,Eden Gardens,Batting,Cloudy,176,6,19.1,GT
LSG,KKR,KKR,Narendra Modi Stadium,Batting,Cloudy,123,1,10.2,KKR
SRH,GT,GT,Eden Gardens,Balanced,Hot,152,2,15.7,GT
MI,DC,DC,Eden Gardens,Balanced,Humid,190,8,5.5,MI
SRH,CSK,CSK,Wankhede Stadium,Batting,Cloudy,171,7,7.6,CSK
CSK,LSG,CSK,Narendra Modi Stadium,Balanced,Humid,202,2,19.1,CSK
DC,GT,DC,Chepauk,Bowling,Hot,246,1,5.6,GT
LSG,SRH,LSG,Wankhede Stadium,Bowling,Cloudy,238,2,8.2,LSG
PBKS,KKR,PBKS,Chinnaswamy Stadium,Batting,Humid,170,4,5.5,KKR
RR,MI,MI,Narendra Modi Stadium,Bowling,Humid,203,0,17.0,RR
CSK,RCB,CSK,Narendra Modi Stadium,Batting,Humid,146,3,17.1,CSK
LSG,PBKS,LSG,Chepauk,Balanced,Humid,165,8,13.9,LSG
MI,KKR,MI,Chinnaswamy Stadium,Batting,Hot,179,0,18.6,MI
DC,RCB,DC,Chinnaswamy Stadium,Bowling,Cloudy,188,4,5.3,RCB
SRH,GT,GT,Eden Gardens,Batting,Hot,177,1,10.3,GT
SRH,GT,SRH,Chepauk,Bowling,Humid,234,8,6.3,SRH
LSG,SRH,LSG,Chinnaswamy Stadium,Balanced,Hot,212,1,14.1,SRH
DC,KKR,DC,Chinnaswamy Stadium,Balanced,Humid,193,8,11.2,KKR
LSG,KKR,LSG,Chepauk,Batting,Humid,130,10,10.0,KKR
LSG,SRH,SRH,Chepauk,Batting,Humid,204,0,12.1,LSG
CSK,RCB,CSK,Narendra Modi Stadium,Bowling,Hot,190,0,9.6,RCB
PBKS,MI,PBKS,Eden Gardens,Batting,Hot,238,3,14.6,PBKS
RR,CSK,RR,Eden Gardens,Bowling,Hot,182,7,19.3,CSK
PBKS,LSG,LSG,Narendra Modi Stadium,Balanced,Humid,231,7,12.6,PBKS
LSG,DC,DC,Chepauk,Balanced,Humid,159,5,12.9,DC
DC,RR,RR,Eden Gardens,Bowling,Humid,190,5,11.7,RR
LSG,RCB,LSG,Narendra Modi Stadium,Bowling,Cloudy,136,4,18.9,LSG
GT,PBKS,GT,Wankhede Stadium,Balanced,Cloudy,139,5,15.5,PBKS
MI,DC,DC,Narendra Modi Stadium,Batting,Hot,223,1,17.7,DC
MI,RR,RR,Chinnaswamy Stadium,Batting,Hot,129,1,9.2,MI
SRH,RR,RR,Wankhede Stadium,Bowling,Cloudy,247,8,7.9,RR
CSK,PBKS,CSK,Wankhede Stadium,Balanced,Humid,246,1,15.2,PBKS
PBKS,SRH,SRH,Chepauk,Balanced,Cloudy,183,3,18.5,PBKS
GT,SRH,GT,Wankhede Stadium,Bowling,Humid,205,4,9.4,SRH
CSK,SRH,CSK,Wankhede Stadium,Bowling,Hot,137,5,15.0,SRH
PBKS,DC,PBKS,Chepauk,Bowling,Humid,244,2,9.0,DC
LSG,MI,LSG,Wankhede Stadium,Balanced,Cloudy,219,7,18.8,LSG
GT,DC,DC,Chepauk,Balanced,Cloudy,194,2,5.3,DC
RCB,PBKS,PBKS,Chepauk,Balanced,Humid,218,6,16.6,PBKS
RCB,CSK,RCB,Chinnaswamy Stadium,Bowling,Cloudy,195,2,12.1,RCB
SRH,RR,RR,Narendra Modi Stadium,Bowling,Hot,122,10,14.8,SRH
KKR,RCB,KKR,Chepauk,Balanced,Humid,165,4,10.1,KKR
RCB,CSK,RCB,Chepauk,Batting,Hot,143,8,15.1,RCB
CSK,DC,DC,Narendra Modi Stadium,Bowling,Cloudy,162,1,11.2,CSK
LSG,RR,RR,Chepauk,Bowling,Humid,183,6,8.3,RR
RR,LSG,LSG,Wankhede Stadium,Balanced,Hot,158,7,8.7,LSG
DC,CSK,CSK,Narendra Modi Stadium,Bowling,Hot,234,1,13.3,CSK
KKR,SRH,KKR,Wankhede Stadium,Bowling,Cloudy,155,3,14.0,SRH
KKR,MI,KKR,Eden Gardens,Batting,Cloudy,213,0,9.2,MI
PBKS,CSK,PBKS,Chepauk,Batting,Hot,242,8,14.1,CSK
RR,SRH,RR,Chinnaswamy Stadium,Bowling,Hot,230,0,14.2,RR
RCB,MI,RCB,Wankhede Stadium,Batting,Humid,202,2,19.9,RCB
RR,LSG,RR,Chepauk,Bowling,Hot,240,9,19.6,RR
LSG,CSK,CSK,Eden Gardens,Batting,Humid,196,10,6.1,LSG
GT,DC,GT,Narendra Modi Stadium,Balanced,Humid,198,5,8.7,GT
MI,LSG,MI,Chepauk,Balanced,Cloudy,164,1,15.0,LSG
KKR,SRH,KKR,Eden Gardens,Balanced,Humid,128,10,19.5,SRH
LSG,RCB,RCB,Eden Gardens,Bowling,Hot,222,1,10.3,RCB
CSK,RR,CSK,Eden Gardens,Bowling,Hot,171,5,15.2,CSK
GT,SRH,GT,Chepauk,Bowling,Humid,134,5,13.0,SRH
CSK,DC,DC,Wankhede Stadium,Balanced,Hot,142,10,9.9,DC
RR,LSG,LSG,Chinnaswamy Stadium,Balanced,Humid,202,2,10.0,RR
LSG,CSK,CSK,Chinnaswamy Stadium,Balanced,Humid,189,8,8.7,CSK
RR,GT,GT,Wankhede Stadium,Balanced,Cloudy,132,5,15.8,RR
GT,SRH,SRH,Eden Gardens,Bowling,Humid,146,6,5.7,GT
RR,DC,RR,Narendra Modi Stadium,Bowling,Cloudy,232,7,15.8,RR
LSG,RCB,LSG,Chinnaswamy Stadium,Balanced,Hot,189,8,7.9,RCB
RR,SRH,SRH,Wankhede Stadium,Batting,Cloudy,165,2,5.4,RR
CSK,SRH,SRH,Chinnaswamy Stadium,Batting,Cloudy,177,6,5.8,SRH
MI,LSG,LSG,Wankhede Stadium,Balanced,Hot,150,6,8.1,MI
MI,CSK,CSK,Chepauk,Batting,Hot,236,3,14.2,CSK
GT,RR,RR,Chinnaswamy Stadium,Balanced,Humid,144,1,6.2,GT
SRH,CSK,CSK,Eden Gardens,Balanced,Hot,139,5,19.1,SRH
KKR,LSG,LSG,Narendra Modi Stadium,Batting,Cloudy,160,7,19.7,KKR
LSG,DC,LSG,Eden Gardens,Batting,Humid,199,1,15.2,LSG
GT,KKR,KKR,Wankhede Stadium,Batting,Humid,246,6,11.0,KKR
GT,LSG,LSG,Chinnaswamy Stadium,Batting,Humid,181,4,10.1,LSG
KKR,MI,KKR,Chepauk,Bowling,Hot,172,9,11.7,MI
LSG,SRH,LSG,Wankhede Stadium,Bowling,Humid,200,4,8.0,SRH
RR,RCB,RCB,Chepauk,Bowling,Hot,154,8,16.5,RR
MI,KKR,KKR,Chepauk,Balanced,Hot,214,5,9.7,KKR
CSK,RCB,RCB,Chepauk,Batting,Cloudy,149,1,13.3,RCB
PBKS,SRH,SRH,Wankhede Stadium,Balanced,Cloudy,139,3,17.5,SRH
KKR,CSK,CSK,Narendra Modi Stadium,Bowling,Cloudy,144,1,13.4,CSK
LSG,KKR,LSG,Wankhede Stadium,Batting,Hot,120,9,5.8,KKR
RCB,LSG,RCB,Wankhede Stadium,Bowling,Cloudy,162,2,7.4,LSG
MI,CSK,MI,Chinnaswamy Stadium,Balanced,Hot,235,3,18.8,CSK
PBKS,SRH,SRH,Eden Gardens,Bowling,Humid,202,2,10.6,PBKS
LSG,KKR,KKR,Chepauk,Bowling,Cloudy,217,0,12.5,KKR
KKR,GT,GT,Chepauk,Batting,Hot,155,1,17.4,KKR
LSG,RR,RR,Chepauk,Balanced,Cloudy,246,1,14.6,RR
KKR,CSK,KKR,Chepauk,Bowling,Hot,137,8,16.9,KKR
CSK,KKR,KKR,Chinnaswamy Stadium,Bowling,Cloudy,239,2,12.5,CSK
MI,GT,MI,Narendra Modi Stadium,Balanced,Humid,164,0,9.7,MI
LSG,SRH,LSG,Chepauk,Balanced,Humid,141,1,7.8,SRH
CSK,SRH,CSK,Narendra Modi Stadium,Batting,Humid,184,2,18.2,SRH
PBKS,GT,GT,Wankhede Stadium,Bowling,Hot,193,0,11.9,GT
CSK,DC,CSK,Narendra Modi Stadium,Batting,Cloudy,136,8,19.1,CSK
SRH,GT,SRH,Wankhede Stadium,Bowling,Cloudy,208,5,11.1,GT
DC,CSK,CSK,Chinnaswamy Stadium,Batting,Humid,223,5,8.0,DC
PBKS,CSK,PBKS,Wankhede Stadium,Balanced,Hot,141,7,17.4,CSK
RCB,GT,RCB,Narendra Modi Stadium,Batting,Hot,217,1,6.3,GT
MI,KKR,KKR,Chepauk,Balanced,Humid,217,8,14.6,MI
CSK,LSG,CSK,Wankhede Stadium,Batting,Humid,130,2,11.0,LSG
SRH,PBKS,SRH,Eden Gardens,Balanced,Cloudy,136,6,17.4,SRH
DC,PBKS,PBKS,Chinnaswamy Stadium,Batting,Humid,200,1,13.6,PBKS
KKR,GT,GT,Chepauk,Balanced,Hot,172,9,14.2,GT
RCB,MI,RCB,Chepauk,Balanced,Cloudy,209,9,14.1,RCB
SRH,DC,SRH,Eden Gardens,Bowling,Hot,140,3,12.7,DC
LSG,MI,LSG,Chinnaswamy Stadium,Batting,Hot,122,6,12.7,LSG
SRH,PBKS,SRH,Chinnaswamy Stadium,Bowling,Cloudy,163,5,13.0,SRH
RR,GT,RR,Chinnaswamy Stadium,Batting,Cloudy,142,5,5.8,RR
GT,MI,MI,Narendra Modi Stadium,Balanced,Humid,234,5,15.7,GT
DC,RR,RR,Eden Gardens,Bowling,Cloudy,144,10,18.4,RR
LSG,GT,GT,Wankhede Stadium,Balanced,Humid,144,4,15.0,GT
DC,CSK,CSK,Eden Gardens,Bowling,Hot,211,4,5.7,DC
MI,RR,MI,Wankhede Stadium,Bowling,Cloudy,137,1,18.7,MI
GT,KKR,KKR,Chepauk,Batting,Cloudy,122,9,12.4,KKR
CSK,DC,CSK,Chepauk,Balanced,Cloudy,242,8,11.2,CSK
RR,MI,RR,Chinnaswamy Stadium,Bowling,Cloudy,245,7,11.7,RR
DC,GT,GT,Narendra Modi Stadium,Balanced,Cloudy,208,6,19.9,GT
MI,GT,GT,Narendra Modi Stadium,Balanced,Humid,135,0,13.4,GT
LSG,MI,LSG,Narendra Modi Stadium,Balanced,Hot,196,9,17.1,MI
GT,LSG,LSG,Eden Gardens,Bowling,Cloudy,143,10,12.3,LSG
GT,DC,GT,Eden Gardens,Balanced,Cloudy,190,5,9.5,DC
GT,MI,MI,Narendra Modi Stadium,Balanced,Hot,163,1,12.4,MI
MI,CSK,MI,Wankhede Stadium,Balanced,Hot,247,10,13.1,MI
LSG,RR,LSG,Narendra Modi Stadium,Balanced,Hot,127,7,19.0,RR
MI,RR,MI,Narendra Modi Stadium,Balanced,Humid,213,7,19.9,RR
MI,GT,GT,Eden Gardens,Bowling,Cloudy,203,7,7.7,MI
GT,PBKS,GT,Wankhede Stadium,Bowling,Cloudy,248,10,16.7,GT
GT,RR,RR,Chinnaswamy Stadium,Batting,Cloudy,215,3,10.0,RR
RR,PBKS,PBKS,Chepauk,Bowling,Cloudy,226,8,12.8,PBKS
GT,CSK,GT,Eden Gardens,Bowling,Humid,169,1,12.0,GT
RR,GT,RR,Narendra Modi Stadium,Balanced,Hot,163,6,11.6,RR
SRH,RR,SRH,Wankhede Stadium,Batting,Humid,141,7,9.7,SRH
CSK,SRH,CSK,Chinnaswamy Stadium,Balanced,Humid,241,2,16.9,CSK
DC,SRH,DC,Chepauk,Bowling,Humid,124,6,5.8,DC
DC,GT,GT,Wankhede Stadium,Batting,Humid,202,0,5.3,GT
CSK,MI,MI,Chepauk,Bowling,Hot,139,2,7.2,CSK
PBKS,GT,PBKS,Eden Gardens,Balanced,Cloudy,144,4,11.0,GT
RCB,KKR,KKR,Wankhede Stadium,Batting,Humid,173,4,19.8,RCB
RR,DC,DC,Chepauk,Batting,Cloudy,230,0,11.2,DC
RCB,SRH,RCB,Chinnaswamy Stadium,Balanced,Cloudy,248,1,18.2,RCB
LSG,CSK,LSG,Chinnaswamy Stadium,Bowling,Humid,178,6,6.4,CSK
PBKS,DC,DC,Narendra Modi Stadium,Balanced,Humid,214,10,15.1,DC
GT,LSG,GT,Narendra Modi Stadium,Batting,Cloudy,233,7,12.7,LSG
PBKS,DC,DC,Eden Gardens,Balanced,Humid,179,0,18.2,PBKS
MI,RCB,MI,Wankhede Stadium,Batting,Hot,120,6,15.1,RCB
GT,MI,MI,Wankhede Stadium,Balanced,Humid,141,2,7.6,GT
RR,PBKS,PBKS,Wankhede Stadium,Balanced,Humid,151,6,12.5,PBKS
CSK,SRH,CSK,Chinnaswamy Stadium,Batting,Cloudy,178,4,19.9,SRH
PBKS,SRH,SRH,Chinnaswamy Stadium,Balanced,Humid,168,7,8.5,PBKS
DC,RCB,RCB,Chinnaswamy Stadium,Balanced,Hot,223,3,6.4,DC
SRH,PBKS,SRH,Chepauk,Bowling,Hot,139,10,19.0,SRH
KKR,GT,KKR,Eden Gardens,Balanced,Hot,150,9,7.1,KKR
RCB,LSG,RCB,Chepauk,Bowling,Cloudy,212,7,15.7,LSG
MI,LSG,LSG,Chepauk,Balanced,Cloudy,140,0,6.2,MI
PBKS,LSG,LSG,Wankhede Stadium,Balanced,Humid,122,2,14.4,LSG
KKR,PBKS,PBKS,Wankhede Stadium,Balanced,Hot,178,2,13.6,KKR
SRH,PBKS,SRH,Chepauk,Bowling,Humid,216,7,16.0,SRH
SRH,PBKS,SRH,Eden Gardens,Balanced,Cloudy,132,10,17.2,PBKS
LSG,MI,MI,Chepauk,Batting,Hot,147,3,19.9,LSG
DC,MI,MI,Chepauk,Bowling,Cloudy,149,10,11.5,DC
DC,CSK,DC,Chepauk,Bowling,Cloudy,220,7,9.4,CSK
RR,DC,DC,Chepauk,Batting,Humid,237,6,9.8,DC
RR,SRH,SRH,Chinnaswamy Stadium,Bowling,Humid,174,8,13.2,SRH
GT,RR,RR,Eden Gardens,Batting,Humid,207,8,16.3,GT
GT,RCB,RCB,Chinnaswamy Stadium,Bowling,Humid,123,1,13.7,GT
LSG,PBKS,LSG,Wankhede Stadium,Bowling,Cloudy,204,3,16.3,PBKS
LSG,KKR,LSG,Chepauk,Batting,Humid,150,3,17.1,LSG
LSG,SRH,LSG,Chepauk,Bowling,Humid,120,1,14.0,LSG
PBKS,KKR,PBKS,Chinnaswamy Stadium,Batting,Humid,138,5,11.7,KKR
SRH,GT,SRH,Chepauk,Bowling,Cloudy,188,8,19.8,GT
DC,GT,DC,Chepauk,Balanced,Humid,155,4,11.3,DC
SRH,LSG,LSG,Wankhede Stadium,Batting,Cloudy,197,9,14.4,SRH
PBKS,RCB,PBKS,Narendra Modi Stadium,Balanced,Hot,186,4,13.9,PBKS
RCB,DC,RCB,Chepauk,Bowling,Hot,166,0,15.0,RCB
MI,SRH,SRH,Wankhede Stadium,Batting,Cloudy,243,9,15.3,MI
SRH,DC,SRH,Narendra Modi Stadium,Batting,Hot,226,10,11.8,DC
MI,PBKS,PBKS,Chinnaswamy Stadium,Balanced,Cloudy,197,4,7.3,PBKS
RR,PBKS,PBKS,Narendra Modi Stadium,Batting,Humid,185,7,7.3,RR
RR,SRH,SRH,Chinnaswamy Stadium,Batting,Hot,191,3,12.7,SRH
CSK,PBKS,CSK,Chepauk,Batting,Hot,242,2,16.5,PBKS
DC,GT,GT,Chinnaswamy Stadium,Balanced,Cloudy,133,4,9.3,DC
MI,LSG,MI,Eden Gardens,Batting,Hot,159,8,13.7,MI
RR,MI,MI,Chinnaswamy Stadium,Bowling,Cloudy,192,1,10.3,RR
PBKS,MI,PBKS,Chepauk,Bowling,Cloudy,178,10,8.7,PBKS
RR,KKR,RR,Wankhede Stadium,Bowling,Hot,170,9,13.3,KKR
KKR,DC,DC,Wankhede Stadium,Batting,Cloudy,204,8,11.3,KKR
SRH,KKR,SRH,Chinnaswamy Stadium,Bowling,Hot,199,9,16.0,KKR
MI,SRH,MI,Eden Gardens,Bowling,Hot,152,0,13.3,MI
RCB,RR,RR,Wankhede Stadium,Balanced,Humid,246,0,14.2,RCB
DC,RCB,RCB,Chepauk,Batting,Cloudy,239,3,9.5,DC
RR,PBKS,RR,Chinnaswamy Stadium,Bowling,Humid,245,3,11.3,PBKS
GT,DC,GT,Narendra Modi Stadium,Balanced,Cloudy,217,1,19.2,DC
MI,LSG,LSG,Chinnaswamy Stadium,Balanced,Hot,194,10,9.4,MI
KKR,SRH,SRH,Eden Gardens,Batting,Cloudy,200,10,6.7,KKR
KKR,DC,DC,Chinnaswamy Stadium,Bowling,Humid,131,8,8.7,KKR
CSK,PBKS,PBKS,Chepauk,Batting,Humid,177,3,5.4,PBKS
RCB,SRH,RCB,Chinnaswamy Stadium,Batting,Humid,235,8,19.9,RCB
MI,CSK,MI,Eden Gardens,Bowling,Cloudy,200,10,19.6,MI
LSG,RCB,LSG,Chinnaswamy Stadium,Balanced,Humid,231,9,5.2,LSG
RCB,DC,DC,Eden Gardens,Batting,Cloudy,188,8,17.2,DC
SRH,DC,DC,Narendra Modi Stadium,Balanced,Hot,241,8,15.2,DC
RR,KKR,KKR,Wankhede Stadium,Batting,Hot,125,6,20.0,RR
PBKS,RCB,PBKS,Chinnaswamy Stadium,Balanced,Hot,182,8,15.3,PBKS
SRH,GT,GT,Narendra Modi Stadium,Batting,Humid,149,5,8.9,GT
CSK,PBKS,CSK,Wankhede Stadium,Balanced,Hot,230,1,8.6,PBKS
RCB,KKR,RCB,Narendra Modi Stadium,Bowling,Hot,125,7,17.9,KKR
LSG,SRH,SRH,Wankhede Stadium,Balanced,Humid,159,9,16.0,LSG
SRH,LSG,LSG,Narendra Modi Stadium,Batting,Hot,231,7,19.7,SRH
MI,GT,MI,Narendra Modi Stadium,Balanced,Cloudy,221,5,15.4,MI
LSG,DC,LSG,Narendra Modi Stadium,Balanced,Cloudy,225,10,9.0,LSG
RCB,SRH,SRH,Chepauk,Bowling,Humid,218,3,7.0,RCB
MI,RCB,MI,Narendra Modi Stadium,Balanced,Cloudy,211,1,19.1,RCB
PBKS,SRH,SRH,Wankhede Stadium,Bowling,Humid,221,0,7.5,PBKS
MI,RR,RR,Wankhede Stadium,Bowling,Humid,137,9,17.4,RR
KKR,RCB,KKR,Chepauk,Balanced,Hot,176,1,7.8,RCB
PBKS,MI,PBKS,Wankhede Stadium,Bowling,Hot,186,6,12.0,PBKS
RCB,DC,RCB,Chinnaswamy Stadium,Bowling,Cloudy,166,9,6.9,RCB
RCB,MI,MI,Wankhede Stadium,Bowling,Hot,224,6,5.3,RCB
GT,RCB,RCB,Wankhede Stadium,Batting,Cloudy,216,7,5.6,GT
MI,GT,MI,Wankhede Stadium,Bowling,Cloudy,187,9,9.3,GT
RCB,DC,DC,Chepauk,Batting,Cloudy,228,10,6.5,RCB
MI,SRH,SRH,Chepauk,Batting,Cloudy,250,7,9.7,MI
RR,PBKS,RR,Chinnaswamy Stadium,Batting,Hot,189,2,19.9,PBKS
MI,KKR,KKR,Eden Gardens,Batting,Cloudy,141,10,8.0,KKR
GT,MI,MI,Eden Gardens,Bowling,Cloudy,235,1,14.1,GT
PBKS,CSK,PBKS,Eden Gardens,Bowling,Hot,221,1,6.8,PBKS
PBKS,LSG,PBKS,Wankhede Stadium,Batting,Cloudy,196,7,7.0,PBKS
SRH,RR,RR,Eden Gardens,Batting,Hot,128,2,10.2,RR
LSG,KKR,LSG,Wankhede Stadium,Balanced,Humid,192,3,13.3,KKR
MI,KKR,MI,Chinnaswamy Stadium,Bowling,Hot,205,8,19.1,MI
GT,DC,DC,Narendra Modi Stadium,Balanced,Hot,141,8,9.3,GT
SRH,RCB,RCB,Narendra Modi Stadium,Bowling,Cloudy,146,1,7.4,SRH
RCB,LSG,LSG,Chepauk,Batting,Humid,167,5,13.6,RCB
DC,SRH,SRH,Wankhede Stadium,Balanced,Hot,146,8,18.3,DC
RCB,GT,GT,Wankhede Stadium,Batting,Humid,128,1,19.1,RCB
PBKS,CSK,PBKS,Wankhede Stadium,Batting,Humid,124,0,12.0,PBKS
KKR,LSG,KKR,Eden Gardens,Batting,Humid,123,7,14.6,KKR
LSG,GT,GT,Chepauk,Balanced,Humid,190,4,17.0,GT
RCB,DC,RCB,Wankhede Stadium,Batting,Cloudy,237,3,8.1,DC
RCB,KKR,KKR,Wankhede Stadium,Balanced,Hot,197,7,19.2,RCB
RCB,PBKS,PBKS,Chepauk,Batting,Hot,200,0,11.6,PBKS
RCB,LSG,RCB,Chepauk,Bowling,Cloudy,140,0,19.7,RCB
LSG,KKR,KKR,Wankhede Stadium,Batting,Humid,127,9,13.0,LSG
LSG,KKR,LSG,Wankhede Stadium,Bowling,Cloudy,135,4,9.9,KKR
GT,PBKS,PBKS,Eden Gardens,Bowling,Hot,210,5,16.4,PBKS
LSG,SRH,LSG,Chepauk,Balanced,Cloudy,120,0,5.4,LSG
MI,LSG,LSG,Narendra Modi Stadium,Batting,Humid,214,10,15.0,MI
SRH,KKR,SRH,Narendra Modi Stadium,Balanced,Cloudy,174,1,18.8,SRH
PBKS,MI,PBKS,Wankhede Stadium,Balanced,Hot,186,10,12.6,PBKS
PBKS,LSG,LSG,Chepauk,Bowling,Cloudy,242,3,19.1,LSG
SRH,CSK,CSK,Eden Gardens,Balanced,Hot,158,0,9.6,CSK
PBKS,KKR,KKR,Narendra Modi Stadium,Balanced,Hot,172,0,19.4,KKR
MI,GT,GT,Chepauk,Balanced,Cloudy,179,1,10.8,MI
RR,GT,RR,Eden Gardens,Batting,Cloudy,194,3,15.8,RR
LSG,SRH,SRH,Chepauk,Batting,Humid,207,10,16.5,SRH
GT,PBKS,GT,Wankhede Stadium,Balanced,Humid,190,10,6.5,GT
GT,RCB,GT,Narendra Modi Stadium,Balanced,Humid,129,1,14.5,GT
KKR,MI,KKR,Wankhede Stadium,Balanced,Humid,135,1,16.7,MI
MI,KKR,MI,Chepauk,Batting,Hot,131,9,17.5,MI
SRH,PBKS,SRH,Chepauk,Batting,Humid,227,9,13.9,SRH
LSG,CSK,CSK,Chepauk,Bowling,Cloudy,144,6,13.9,LSG
KKR,RR,RR,Eden Gardens,Bowling,Hot,231,1,18.0,RR
RCB,DC,RCB,Narendra Modi Stadium,Bowling,Hot,173,4,17.0,RCB
CSK,LSG,LSG,Chinnaswamy Stadium,Bowling,Cloudy,240,10,12.3,LSG
MI,LSG,MI,Chinnaswamy Stadium,Bowling,Hot,221,7,9.8,LSG
GT,KKR,KKR,Wankhede Stadium,Batting,Humid,138,8,8.9,KKR
CSK,KKR,CSK,Narendra Modi Stadium,Balanced,Cloudy,221,4,16.2,KKR
RR,MI,RR,Chepauk,Balanced,Humid,203,9,14.3,MI
CSK,KKR,KKR,Chinnaswamy Stadium,Bowling,Hot,232,5,9.6,KKR
LSG,DC,LSG,Chepauk,Balanced,Cloudy,215,2,15.0,DC
RCB,GT,RCB,Narendra Modi Stadium,Batting,Cloudy,147,7,6.2,GT
CSK,RCB,CSK,Eden Gardens,Bowling,Cloudy,156,2,5.0,RCB
LSG,MI,MI,Eden Gardens,Bowling,Cloudy,187,6,10.7,MI
SRH,RR,SRH,Eden Gardens,Bowling,Humid,207,2,9.5,SRH
KKR,MI,KKR,Chepauk,Balanced,Humid,166,2,19.4,KKR
PBKS,CSK,PBKS,Narendra Modi Stadium,Balanced,Cloudy,219,5,10.5,PBKS
RR,LSG,LSG,Eden Gardens,Batting,Hot,130,7,7.6,LSG
KKR,CSK,CSK,Chepauk,Balanced,Hot,157,10,19.1,CSK
LSG,GT,GT,Narendra Modi Stadium,Bowling,Hot,177,5,19.6,LSG
MI,RR,RR,Chinnaswamy Stadium,Batting,Hot,161,10,18.7,MI
KKR,CSK,CSK,Narendra Modi Stadium,Batting,Humid,193,9,17.4,CSK
CSK,RCB,CSK,Chepauk,Bowling,Humid,188,6,7.6,RCB
SRH,KKR,SRH,Eden Gardens,Batting,Humid,242,4,18.2,SRH
PBKS,LSG,LSG,Chinnaswamy Stadium,Balanced,Hot,182,10,10.9,PBKS
PBKS,LSG,LSG,Eden Gardens,Balanced,Humid,125,2,17.1,PBKS
RCB,SRH,RCB,Eden Gardens,Batting,Cloudy,168,10,12.6,SRH
